 ,ADV,NOUN,NUM,ADP,PRT,DET,.,PRON,VERB,X,CONJ,ADJ,Correct, Total, Accuracy 
ADV,419,23,0,25,0,6,0,0,3,0,0,19,419,495,84.6464646465%%,
NOUN,0,3457,0,4,0,4,0,0,37,0,0,12,3457,3514,98.3779169038%%,
NUM,0,18,279,0,0,1,0,0,2,0,0,0,279,300,93.0%%,
ADP,1,1,0,1245,0,16,0,0,0,0,0,0,1245,1263,98.5748218527%%,
PRT,3,0,0,4,411,0,0,0,0,0,0,0,411,418,98.3253588517%%,
DET,3,0,0,31,0,1063,0,0,0,0,0,0,1063,1097,96.9006381039%%,
.,0,0,0,0,1,0,1451,0,0,0,0,0,1451,1452,99.9311294766%%,
PRON,0,0,1,0,0,0,0,341,0,0,0,0,341,342,99.7076023392%%,
VERB,0,171,0,6,1,6,0,0,1598,0,0,4,1598,1786,89.4736842105%%,
X,0,0,0,0,0,0,0,0,0,3,0,0,3,3,100.0%%,
CONJ,0,0,0,0,0,0,0,0,0,0,291,0,291,291,100.0%%,
ADJ,9,167,0,0,0,2,0,0,10,0,0,651,651,839,77.5923718713%%,
