 Overall accuracy , correct: 10766, total 12451, Accuracy: 86.466950 %

 ,adv,pp,fixed,noun,name,vg,comp,det,punct,num,verb,comparative,pron,part,tag,adj,prep,Correct, Total, Accuracy 
adv,551,3,0,62,0,8,9,14,0,1,0,0,0,0,0,33,19,551,700,78.7142857143%%,
pp,13,42,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,42,63,66.6666666667%%,
fixed,4,0,3,25,0,0,1,14,0,0,0,0,0,0,0,2,24,3,73,4.1095890411%%,
noun,22,0,2,3310,0,16,14,273,0,16,16,0,0,0,0,12,87,3310,3768,87.8450106157%%,
name,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0%%,
vg,2,0,0,13,0,229,1,0,0,0,0,0,0,0,0,0,4,229,249,91.9678714859%%,
comp,4,0,0,47,0,4,240,8,0,0,1,0,0,0,0,1,67,240,372,64.5161290323%%,
det,5,0,0,47,0,0,0,1547,0,3,12,0,0,0,0,3,1,1547,1618,95.6118665019%%,
punct,0,0,0,0,0,0,0,0,1264,0,0,0,0,0,0,0,0,1264,1264,100.0%%,
num,4,0,0,52,0,0,0,42,0,101,0,0,0,0,0,5,2,101,206,49.0291262136%%,
verb,0,0,0,123,0,0,0,77,1,1,1408,0,0,0,0,15,10,1408,1635,86.1162079511%%,
comparative,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,13,0.0%%,
pron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%%,
part,4,0,0,7,0,0,0,0,0,0,0,0,0,15,0,4,60,15,90,16.6666666667%%,
tag,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0%%,
adj,17,0,0,181,0,0,0,65,0,0,24,0,0,0,0,665,17,665,969,68.6274509804%%,
prep,3,0,0,20,0,0,10,1,0,0,1,0,0,1,0,1,1391,1391,1428,97.4089635854%%,
